Lot Area,Overall Cond,Year Built,Gr Liv Area,TotRms AbvGrd,Mo Sold,Yr Sold,Bldg Type,Neighborhood,SalePrice
10738,6,1954,1457,5,8,2009,1Fam,NAmes,-9790.381800000003
13835,4,1989,1792,6,3,2006,1Fam,NridgHt,286779.5056
9667,5,1997,1103,6,5,2010,1Fam,SawyerW,5021.17379999999
10699,6,2000,1671,6,4,2009,1Fam,CollgCr,414742.1677
14033,4,1992,1357,5,10,2009,1Fam,Mitchel,-57592.0466
57105,5,1943,1696,7,6,2010,1Fam,Timber,110758.7972
8331,7,1948,1358,5,6,2008,1Fam,Sawyer,25259.8143
6013,6,1936,1419,5,5,2009,1Fam,BrkSide,52608.06629999999
5230,5,1918,767,3,6,2008,1Fam,OldTown,34873.47
6990,4,1969,1058,3,6,2010,Duplex,OldTown,43253.098
7149,5,1954,1036,6,6,2009,Duplex,NAmes,25705.7564
7186,5,1940,1353,6,2,2007,1Fam,NAmes,36573.8394
7833,5,1957,917,5,11,2006,1Fam,NAmes,24931.98509999999
9528,4,1969,1171,5,7,2006,1Fam,NWAmes,6567.07759999999
10422,5,2011,1995,8,7,2007,1Fam,CollgCr,416556.0574
1471,9,1982,1090,6,3,2008,Twnhs,MeadowV,83017.0215
11485,5,1991,1843,8,9,2006,1Fam,Timber,376169.4886
10871,4,1948,1245,5,5,2008,1Fam,NAmes,-13582.54820000002
11229,5,1994,1936,6,11,2006,1Fam,Gilbert,401384.9523
12719,4,2021,1817,7,9,2007,1Fam,Timber,322787.9432
10084,4,2005,1918,7,2,2006,1Fam,SawyerW,427660.7668
7616,4,1989,1583,6,3,2006,1Fam,SawyerW,43759.51199999999
17581,4,1915,878,4,4,2006,1Fam,Sawyer,-79560.32070000001
9676,5,1991,1096,6,5,2010,1Fam,SawyerW,4957.13519999999
18018,5,1961,1122,6,3,2007,1Fam,Gilbert,305206.5044
2388,4,2001,1084,4,6,2010,TwnhsE,Somerst,111319.4104
23938,7,1936,2416,9,6,2010,1Fam,ClearCr,90068.79699999999
7854,7,1975,899,5,6,2009,1Fam,Sawyer,28102.5138
8398,8,1973,986,5,11,2008,1Fam,CollgCr,23984.022599999997
12121,5,1977,1421,7,6,2008,1Fam,NWAmes,-37094.5932
15410,5,1989,1754,6,8,2009,1Fam,CollgCr,303362.5796
1882,6,1973,627,3,6,2008,Twnhs,MeadowV,65658.384
10346,9,1903,1782,7,5,2007,1Fam,OldTown,-6447.467800000013
3166,5,2010,1193,4,4,2006,TwnhsE,Somerst,99043.1118
10565,4,1981,1144,6,7,2009,Duplex,Edwards,-9084.409000000014
8266,4,1986,1902,7,7,2008,1Fam,Gilbert,39554.794200000004
13500,6,1941,1731,6,7,2009,1Fam,NAmes,367117.9796
3083,5,2013,1556,7,9,2006,TwnhsE,Blmngtn,156795.2477
12701,4,1978,869,4,4,2008,1Fam,NAmes,-30008.38010000001
3010,4,1993,1257,5,3,2006,TwnhsE,Blmngtn,117013.299
3481,7,1955,1277,4,4,2009,1Fam,OldTown,71404.5627
11467,4,2004,2084,5,6,2008,1Fam,OldTown,400238.73490000004
9102,5,1998,1489,6,7,2007,1Fam,Gilbert,14817.179600000003
8692,4,2015,1863,6,7,2009,1Fam,Somerst,462764.794
11772,4,1963,1553,6,5,2006,1Fam,Edwards,-32189.620400000014
6576,6,1956,1065,5,8,2007,1Fam,IDOTRR,48019.5456
11971,5,1964,1380,5,6,2008,1Fam,NAmes,-32903.4798
10259,4,2011,1548,6,6,2007,1Fam,Gilbert,-4558.425900000002
9961,4,2011,2076,8,5,2006,1Fam,NridgHt,430822.8076
10068,5,1943,1371,5,2,2006,1Fam,NAmes,-1004.0335999999952
9698,7,1948,1000,5,10,2006,1Fam,NAmes,4066.9735999999975
8117,6,1964,864,5,4,2006,1Fam,Edwards,21590.478000000003
11229,4,2010,2516,10,6,2008,1Fam,StoneBr,389747.79709999997
9327,6,1954,978,4,8,2006,1Fam,NAmes,10573.637599999987
14680,5,1996,1873,6,6,2006,1Fam,NridgHt,234985.6336
12324,4,2002,1944,7,11,2006,1Fam,NridgHt,345962.6412
7178,6,1922,1761,7,6,2007,1Fam,SWISU,49551.49799999999
7323,4,1989,2507,8,11,2009,TwnhsE,StoneBr,530472.9018999999
8130,4,1986,1469,7,10,2008,1Fam,Gilbert,30931.296000000002
9076,5,1925,1119,5,3,2008,1Fam,Edwards,8730.691200000001
12212,7,1955,1277,5,9,2009,1Fam,NAmes,-29479.545200000022
